"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEDIAN_SAL.1","POP","CITY","latitude","longitude"
"Mare E Monti Trattoria","Italian",2,150,4.5,"(508) 767-1800","19 Wall St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2576164,-71.786468
"FatimaÎês Cafe","African",1,87,5,"(508) 762-9797","43 W Boylston St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2901505,-71.8067046
"BirchTree Bread Company","Coffee & Tea",2,138,4.5,"(774) 243-6944","138 Green St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2564583,-71.7976489
"Shawarma Palace","Lebanese",1,45,5,"(508) 755-6500","3 Pleasant St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2635143,-71.802337
"Pomir Grill","Afghan",2,108,4.5,"(508) 755-7333","119 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.26373,-71.789095
"Bocado Tapas Wine Bar","Wine Bars",3,307,4.5,"(508) 797-1011","82 Winter St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2588565,-71.7942228
"Bay State Shawarma and Grill","Middle Eastern",1,63,4.5,"(508) 753-6000","86 Water St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.256622,-71.796116
"Smokestack Urban Barbecue","Barbeque",2,165,4,"(508) 363-1111","139 Green St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2564916,-71.7981655
"Sol of Mexico","Mexican",1,82,4,"(508) 756-2660","538 Pleasant St  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.2641091,-71.8205578
"LuckyÎês Cafe","American",1,57,4.5,"(508) 756-5014","102 Grove St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2762208,-71.8006351
"El Patron Mexican Restaurant","Mexican",2,80,4.5,"(508) 757-8000","192 Harding St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2566834,-71.7969278
"ShakerÎês Cafe & Restaurant","Breakfast & Brunch",1,93,4.5,"(508) 797-5550","296 Hamilton St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2572869,-71.7692052
"Worcester Pizza Factory","Pizza",1,51,4.5,"(508) 755-1111","75 Maywood St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2524906,-71.8277289
"Theatre Cafe","Breakfast & Brunch",1,51,4.5,"(508) 799-7190","529 Main St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2616196,-71.8031096
"The Fix","Burgers",2,228,4,"(774) 823-3327","166 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.265498,-71.786879
"New England Roast Beef","Sandwiches",2,65,4.5,"(508) 756-1991","33 Park Ave  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2830324,-71.8080276
"Boynton Restaurant & Spirits","American",2,271,4,"(508) 756-5432","117 Highland St  Worcester, MA 01609",1609,44501,44501,20425,"Worcester",42.2708303,-71.8073885
"Meze Greek Tapas","Tapas/Small Plates",2,48,4.5,"(508) 926-8115","156 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2651657,-71.7874767
"Salt & Pepper","Breakfast & Brunch",1,44,4.5,"(508) 755-1113","268 Lincoln St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2848093,-71.7916357
"Belmont Vegetarian Restaurant","Vegan",1,161,4.5,"(508) 798-8898","157 Belmont St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2725649,-71.7891166
"Tacos Mexico","Mexican",1,21,5,"(508) 579-3283","7 Neponset St  Worcester, MA 01606",1606,57646,57646,19516,"Worcester",42.2965939,-71.8009521
"JoeyÎês Bar & Grill","Burgers",2,84,4,"(508) 797-3800","344 Chandler St  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.26247,-71.8275633
"ZorbaÎês Taverna Restaurant and Bar","Greek",2,72,4,"(508) 796-5828","97 Stafford St  Worcester, MA 01603",1603,37454,37454,14613,"Worcester",42.2400328,-71.842274
"Eggroll Lady & Fish Shack","Seafood",2,50,4.5,"(508) 755-4451","609 W Bolyston St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.3122464,-71.7978869
"Cafe ManziÎês","Italian",1,49,4,"(508) 762-9486","352 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2703299,-71.7774598
"Nuovo Restaurant","Italian",2,74,4,"(508) 796-5915","92 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2636399,-71.7904261
"Cafe Reyes","Cuban",1,37,4.5,"(508) 762-9900","421 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2716559,-71.7737435
"The PeopleÎês Kitchen","American",2,115,3.5,"(508) 459-9090","1 Exchange Pl  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2658411,-71.7994757
"Pampas Churrascaria","Brazilian",2,80,4,"(508) 757-1070","145 E Central St  Worcester, MA 01605",1605,41023,41023,24799,"Worcester",42.2646803,-71.7885623
"TalytaÎês Cafe","Salvadoran",1,19,4.5,"(508) 929-3355","20 Front St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2629733,-71.8011153
"Vintage Grille","American",2,59,4,"(508) 752-0558","346 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.270153,-71.778087
"Loving Hut","Chinese",1,98,4.5,"(508) 831-1322","56 Hamilton St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2558316,-71.782199
"PeppercornÎês Grille & Tavern","Seafood",2,141,4,"(508) 752-7711","455 Park Ave  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2546082,-71.8254799
"Oishi Japanese Restaurant","Japanese",2,31,4,"(508) 752-1688","8 Franklin St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2621406,-71.8023668
"West Side Steak & BBQ","Barbeque",2,63,4,"(508) 756-6328","2 Richmond Ave  Worcester, MA 01602",1602,61861,61861,21596,"Worcester",42.2734278,-71.8308452
"Volturno","Pizza",2,195,3.5,"(508) 756-8658","72 Shrewsbury St  Worcester, MA 01604",1604,47438,47438,33032,"Worcester",42.2635255,-71.7913831
"Miss Worcester Diner","Diners",1,93,4,"(508) 753-5600","300 Southbridge St  Worcester, MA 01608",1608,26526,26526,3634,"Worcester",42.2538603,-71.8066491
"Wings Over","Chicken Wings",1,109,3.5,"(508) 421-9464","1 Kelley Sq  Worcester, MA 01610",1610,21388,21388,15545,"Worcester",42.2549383,-71.7971772
