address,description,lat,lon,media_url,requested_datetime,service_code,service_name,service_request_id,status,status_notes,token,updated_datetime
N42.36 E71.07,Can the City look onto installing a no turn on red sign from Revere onto Charles Street? The right hand turn is dangerous from Revere to Charles Street. It also encourages taxis etc to use this little stretch of Revere as a cut through. Thank you. ,42.35947149,-71.07080917,https://mayors24.cityofboston.gov/attachments/report/4cd4432621ecf37018001a29/photo/miscellaneous.jpg,10/3/10 10:42,4e658b2821ecf3e0a900003e,Other,101000186806,closed,,4cd4432621ecf37018001a29,11/2/10 12:04
N42.32 E71.10,Been several months since I logged an issue on this.   Still no movement. The stone next to the sidewalk.,42.32265948,-71.1005556,https://mayors24.cityofboston.gov/attachments/report/4cd44dc021ecf3701800c57e/photo/graffiti.jpg,10/7/10 7:19,4e658b2821ecf3e0a900002f,Graffiti,101000188018,closed,Your case has been closed. Please contact the Mayor's Hotline for further details,4cd44dc021ecf3701800c57e,10/7/10 10:10
"2221 Dorchester Ave, Boston",,42.27491535,-71.06752114,https://mayors24.cityofboston.gov/attachments/report/4cd44a5221ecf37018008acd/photo/pothole.jpg,10/7/10 9:07,4e658b2821ecf3e0a9000029,Pothole,101000188064,closed,Filled pothole with cold patch..,4cd44a5221ecf37018008acd,10/7/10 10:20
N42.34 E71.05,,42.34296038,-71.05426535,https://mayors24.cityofboston.gov/attachments/report/4cd44a5321ecf37018008ad3/photo/pothole.jpg,10/7/10 11:32,4e658b2821ecf3e0a9000029,Pothole,101000188163,open,,4cd44a5321ecf37018008ad3,10/7/10 11:32
"420 D St, Boston",,42.34446393,-71.04429797,https://mayors24.cityofboston.gov/attachments/report/4cd44a5321ecf37018008ad9/photo/pothole.jpg,10/7/10 12:16,4e658b2821ecf3e0a9000029,Pothole,101000188205,open,,4cd44a5321ecf37018008ad9,10/7/10 12:16
"420 D St, Boston",Bus shelter smashed,42.34406827,-71.04478043,https://mayors24.cityofboston.gov/attachments/report/4cd44a5421ecf37018008adf/photo/miscellaneous.jpg,10/7/10 12:17,4e658b2821ecf3e0a900003e,Other,101000188206,open,,4cd44a5421ecf37018008adf,10/7/10 12:17
"2258 Dorchester Ave, Boston",Please remove old trash can holder on sidewalk. ,42.27331571,-71.06771485,https://mayors24.cityofboston.gov/attachments/report/4cd4432721ecf37018001a2f/photo/miscellaneous.jpg,10/7/10 14:28,4e658b2821ecf3e0a900003e,Other,101000188305,closed,cleaned up 10/8/10,4cd4432721ecf37018001a2f,10/8/10 8:01
"SW Corridor Park, Boston",Yellow light is out.,42.32271162,-71.10052024,https://mayors24.cityofboston.gov/attachments/report/4cd44dc021ecf3701800c584/photo/miscellaneous.jpg,10/7/10 17:49,4e658b2821ecf3e0a900003e,Other,101000188400,closed,,4cd44dc021ecf3701800c584,10/12/10 7:50
"281-305 Athens St, Boston",Stop sign on Athens missing.,42.33822514,-71.04889613,https://mayors24.cityofboston.gov/attachments/report/4cd44a5421ecf37018008ae5/photo/miscellaneous.jpg,10/8/10 8:02,4e658b2821ecf3e0a900003e,Other,101000188504,closed,Your case has been closed. Please contact the Mayor's Hotline for further details,4cd44a5421ecf37018008ae5,10/8/10 10:00
"187 W 5th St, Boston",,42.33688433,-71.05158562,https://mayors24.cityofboston.gov/attachments/report/4cd44a5521ecf37018008aeb/photo/pothole.jpg,10/8/10 8:24,4e658b2821ecf3e0a9000029,Pothole,101000188510,closed,"Upon inspection i mark mooers found pothole, and then filled it.job complete.",4cd44a5521ecf37018008aeb,10/12/10 15:32
