time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-21T17:01:23.910Z,18.6173,-69.0095,101.21,4.3,mb,,73,0.604,0.8,us,us10002kq6,2015-06-21T17:13:12.388Z,"4km NW of Guaymate, Dominican Republic",earthquake
2015-06-21T16:07:09.980Z,38.8093338,-122.819664,3.65,1.04,md,15,107,0.007448,0.02,nc,nc72470076,2015-06-21T16:08:44.750Z,"6km WNW of The Geysers, California",earthquake
2015-06-21T15:32:03.520Z,38.8083344,-122.8228302,2.72,1.04,md,17,128,0.004988,0.06,nc,nc72470051,2015-06-21T15:33:40.480Z,"6km WNW of The Geysers, California",earthquake
2015-06-21T15:12:15.040Z,19.3805008,-155.2431641,1.66,2.57,md,10,97,0.007306,0.19,hv,hv60964756,2015-06-21T15:18:25.704Z,"5km S of Volcano, Hawaii",earthquake
2015-06-21T15:00:14.000Z,60.1979,-141.3366,0,1,ml,,,,0.81,ak,ak11631382,2015-06-21T15:29:19.501Z,"62km ENE of Cape Yakataga, Alaska",earthquake
2015-06-21T14:45:08.700Z,38.8806648,-122.9854965,1.91,1.6,md,8,138,0.04693,0.01,nc,nc72470031,2015-06-21T14:46:45.200Z,"8km NNE of Cloverdale, California",earthquake
2015-06-21T14:18:10.930Z,36.6824,142.3242,10,4.5,mb,,169,1.703,1.29,us,us10002kpg,2015-06-21T15:08:09.877Z,"134km ESE of Iwaki, Japan",earthquake
2015-06-21T14:05:43.000Z,59.2619,-152.6339,79.9,3.4,ml,,,,0.74,ak,ak11631368,2015-06-21T14:38:03.886Z,"73km SW of Anchor Point, Alaska",earthquake
2015-06-21T13:38:16.000Z,60.5664,-147.2467,21.7,1.2,ml,,,,0.25,ak,ak11631365,2015-06-21T14:16:06.171Z,"79km SW of Valdez, Alaska",earthquake
2015-06-21T13:24:05.500Z,36.6385002,-121.2720032,8.72,1.5,md,13,78,0.02792,0.07,nc,nc72470016,2015-06-21T13:25:45.590Z,"21km NE of Gonzales, California",earthquake
2015-06-21T12:57:43.960Z,38.8170013,-122.8198318,2.77,1.26,md,21,67,0.009943,0.03,nc,nc72470006,2015-06-21T12:59:21.380Z,"7km NW of The Geysers, California",earthquake
2015-06-21T12:57:18.240Z,38.8165016,-122.8259964,2.74,1.25,md,22,47,0.008017,0.05,nc,nc72470001,2015-06-21T12:58:56.400Z,"7km NW of The Geysers, California",earthquake
2015-06-21T12:25:00.120Z,36.5438,-97.2056,5,3.2,mb_lg,,58,0.216,0.37,us,us10002kp4,2015-06-21T13:10:21.521Z,"17km SSE of Tonkawa, Oklahoma",earthquake
2015-06-21T11:38:46.370Z,33.053,-116.4381667,6.665,2.39,ml,65,30,0.1367,0.22,ci,ci37405176,2015-06-21T16:12:52.826Z,"16km E of Julian, California",earthquake
2015-06-21T10:59:40.040Z,36.4878333,-89.5626667,9.2,2.37,md,42,28,0.05371,0.12,nm,nm60080557,2015-06-21T13:16:30.690Z,"11km SSW of New Madrid, Missouri",earthquake
2015-06-21T10:56:55.650Z,38.8074989,-122.7926636,2,1.53,md,25,38,0.002115,0.03,nc,nc72469951,2015-06-21T10:58:30.470Z,"4km NW of The Geysers, California",earthquake
