"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"Mare E Monti Trattoria","Italian",2,150,4.5,"(508) 767-1800","19 Wall St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"Fatimas Cafe","African",1,87,5,"(508) 762-9797","43 W Boylston St  Worcester, MA 01605",1605,"41,023","54,480","24,799","Worcester"
"BirchTree Bread Company","Coffee & Tea",2,138,4.5,"(774) 243-6944","138 Green St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"Shawarma Palace","Lebanese",1,45,5,"(508) 755-6500","3 Pleasant St  Worcester, MA 01609",1609,"44,501","62,365","20,425","Worcester"
"Pomir Grill","Afghan",2,108,4.5,"(508) 755-7333","119 Shrewsbury St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"Bocado Tapas Wine Bar","Wine Bars",3,307,4.5,"(508) 797-1011","82 Winter St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"Bay State Shawarma and Grill","Middle Eastern",1,63,4.5,"(508) 753-6000","86 Water St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"Smokestack Urban Barbecue","Barbeque",2,165,4,"(508) 363-1111","139 Green St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"Sol of Mexico","Mexican",1,82,4,"(508) 756-2660","538 Pleasant St  Worcester, MA 01602",1602,"61,861","78,374","21,596","Worcester"
"Luckys Cafe","American (New)",1,57,4.5,"(508) 756-5014","102 Grove St  Worcester, MA 01605",1605,"41,023","54,480","24,799","Worcester"
"El Patron Mexican Restaurant","Mexican",2,80,4.5,"(508) 757-8000","192 Harding St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"Shakers Cafe & Restaurant","Breakfast & Brunch",1,93,4.5,"(508) 797-5550","296 Hamilton St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"Worcester Pizza Factory","Pizza",1,51,4.5,"(508) 755-1111","75 Maywood St  Worcester, MA 01603",1603,"37,454","46,307","14,613","Worcester"
"Theatre Cafe","Breakfast & Brunch",1,51,4.5,"(508) 799-7190","529 Main St  Worcester, MA 01608",1608,"26,526","39,039","3,634","Worcester"
"The Fix","Burgers",2,228,4,"(774) 823-3327","166 Shrewsbury St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"New England Roast Beef","Sandwiches",2,65,4.5,"(508) 756-1991","33 Park Ave  Worcester, MA 01605",1605,"41,023","54,480","24,799","Worcester"
"Boynton Restaurant & Spirits","American (Traditional)",2,271,4,"(508) 756-5432","117 Highland St  Worcester, MA 01609",1609,"44,501","62,365","20,425","Worcester"
"Meze Greek Tapas","Tapas/Small Plates",2,48,4.5,"(508) 926-8115","156 Shrewsbury St  Worcester, MA 01604",1604,"47,438","59,373","33,032","Worcester"
"Salt & Pepper","Breakfast & Brunch",1,44,4.5,"(508) 755-1113","268 Lincoln St  Worcester, MA 01605",1605,"41,023","54,480","24,799","Worcester"
