NAME,TYPE,PRICE,REVIEW_COUNT,STAR,TELL,ADDRESS,ZIPCODE,MEDIAN_SAL,MEAN_SAL,POP,city
Giacomos Ristorante,Italian,2,1929,3.5,(617) 523-9026,"355 Hanover St  Boston, MA 02113",2113,60386,84170,6453,Boston
The Salty Pig,American (New),2,679,4,(617) 536-6200,"130 Dartmouth St  Boston, MA 02116",2116,80153,136491,19480,Boston
Neptune Oyster,Seafood,3,2498,4,(617) 742-3474,"63 Salem St  Boston, MA 02113",2113,60386,84170,6453,Boston
Locale,Italian,2,122,4.5,(617) 742-9600,"352 Hanover St  Boston, MA 02113",2113,60386,84170,6453,Boston
Sams,American (New),2,346,4.5,(617) 295-0191,"60 Northern Ave  Boston, MA 02210",2210,61807,86291,413,Boston
Mike & Pattys,Sandwiches,1,753,4,(617) 423-3447,"12 Church St  Boston, MA 02116",2116,80153,136491,19480,Boston
75 Chestnut,American (New),2,292,4.5,(617) 227-2175,"75 Chestnut St  Boston, MA 02108",2108,96033,149809,3324,Boston
Jm Curley,American (New),2,414,4,(617) 338-5333,"21 Temple Pl  Boston, MA 02111",2111,31442,93529,4948,Boston
Row 34,American (New),3,364,4,(617) 553-5900,"383 Congress St  Boston, MA 02210",2210,61807,86291,413,Boston
The Gallows,American (New),2,514,4,(617) 425-0200,"1395 Washington St  Boston, MA 02118",2118,51368,82360,22527,Boston
Island Creek Oyster Bar,Seafood,3,1483,3.5,(617) 532-5300,"500 Commonwealth Ave  Boston, MA 02215",2215,30726,51218,21896,Boston
Saus,Belgian,1,691,4.5,(617) 248-8835,"33 Union St  Boston, MA 02108",2108,96033,149809,3324,Boston
Piperi Mediterranean Grill,Mediterranean,1,309,4,(617) 227-7471,"One Beacon St  Boston, MA 02108",2108,96033,149809,3324,Boston
Marliave,French,3,866,4.5,(617) 422-0004,"10 Bosworth St  Boston, MA 02108",2108,96033,149809,3324,Boston
El Pelón Taquería,Mexican,1,704,4,(617) 262-9090,"92 Peterborough St  Boston, MA 02215",2215,30726,51218,21896,Boston
Avana Sushi,Japanese,1,582,4.5,(617) 818-7782,"42 Beach St  Boston, MA 02111",2111,31442,93529,4948,Boston
Coda,American (New),2,420,4.5,(617) 536-2632,"329 Columbus Ave  Boston, MA 02116",2116,80153,136491,19480,Boston
Row 34,American (New),3,364,4,(617) 553-5900,"383 Congress St  Boston, MA 02210",2210,61807,86291,413,Boston
The Parish Cafe,Sandwiches,2,978,4,(617) 247-4777,"361 Boylston St  Boston, MA 02116",2116,80153,136491,19480,Boston
The Daily Catch,Italian,2,812,4,(617) 523-8567,"323 Hanover St  Boston, MA 02113",2113,60386,84170,6453,Boston
The Paramount,Breakfast & Brunch,2,878,3.5,(617) 720-1152,"44 Charles St  Boston, MA 02114",2114,69809,110095,11170,Boston
Wheelhouse,Breakfast & Brunch,1,102,4,(617) 422-0082,"63 Broad St  Boston, MA 02109",2109,92310,129015,3278,Boston
Saus,Belgian,1,691,4.5,(617) 248-8835,"33 Union St  Boston, MA 02108",2108,96033,149809,3324,Boston
