"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"JJs Caffe","Cafes",1,219,5,"(508) 510-4227","610 N Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Flava Jamaica Restaurant","Caribbean",2,25,5,"(508) 510-4114","21 Torrey st  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Supreme House of Pizza & Subs","Pizza",1,33,4.5,"(508) 588-0044","376 Centre St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"Cape Cod Cafe","Pizza",2,103,4.5,"(508) 583-9420","979 Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Casa Rosario","Mexican",2,94,4,"(508) 427-0018","688 Crescent St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"Texas Roadhouse","Barbeque",2,128,3.5,"(508) 427-6244","124 Westgate Dr  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Yamato Japanese Steakhouse and Sushi","Sushi Bars",2,66,4,"(508) 588-8881","510 Westgate Dr  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Caos Kitchen","Chinese",1,25,4,"(508) 584-6826","180 Oak St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Harrys Pub & Grill","American (Traditional)",1,13,4,"(508) 580-2911","65 Westgate Dr  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Elveras Cafe","Cafes",1,9,4.5,"(508) 510-4292","132 Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Westside Pizza","Pizza",2,35,4,"(508) 588-1331","35 Torrey St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Cityside Pizza","Pizza",1,7,4.5,"(508) 580-5556","464 Pleasant St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"The Peruvian Place","Peruvian",2,10,4,"(508) 580-0147","55 City Hall Plz  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Alexanders Family Restaurant","Pizza",1,29,4,"(508) 584-8834","391 Crescent St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"International Food Gourmet","Delis",1,14,4.5,"(508) 586-9862","57 Oak St Ext  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"McMenamys Seafood","Seafood",2,41,3.5,"(508) 586-1122","810 Belmont St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Pizza Palace","Pizza",1,11,4,"(508) 586-0707","350 Oak St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Tommy Doyles Pub & Grill","Pubs",2,17,3.5,"(508) 587-5511","235 E Ashland St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"Franks Restaurant","American (Traditional)",2,38,3.5,"(508) 588-9604","265 N Pearl St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Stonebridge Cafe","Breakfast & Brunch",1,62,4,"(508) 584-5200","1285 Belmont St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Buena Vista Restaurant","Latin American",1,4,4.5,"(508) 580-7745","526 Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Hibachi Sushi Supreme Buffet","Japanese",2,12,4.5,"(508) 588-8860","718 Crescent St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"Tutto Bene","Italian",2,41,4,"(508) 583-1515","1050 Pearl St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Little Samis","Burgers",2,29,3.5,"(508) 436-4766","1145 W Chestnut St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"North End Market & Deli","Pizza",1,7,4.5,"(508) 588-0300","1123 N Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Georges Cafe","Italian",1,38,3.5,"(508) 588-4231","228 Belmont St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Paradise Caribbean Restaurant","Caribbean",2,7,3.5,"(508) 587-8770","192 Warren Ave  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Pettis Market & Deli","American (New)",1,3,5,"(508) 586-6210","216 Belmont St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Buffalo Wild Wings","Chicken Wings",2,97,2.5,"(508) 559-1409","500 Westgate Drive  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Jade Lee Kitchen","Chinese",1,7,4,"(508) 584-4666","258 N Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Supreme Pizza","Pizza",1,6,4,"(508) 857-2767","1284 S Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"The Back Bay Bagel Company","Bagels",1,43,4.5,"(508) 580-6565","1280 Belmont St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Tinrays Pizza Cafe","Pizza",2,17,4,"(508) 584-8900","9 Winter St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"Bickfords Grille","Breakfast & Brunch",1,12,4,"(508) 586-4200","37 Oak St Ext  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Five Guys Burgers and Fries","Burgers",1,8,4,"(774) 381-7921","27 Westgate Dr  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Nagoya","Chinese",2,17,3.5,"(508) 588-8388","793 Crescent St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"Moes Southwest Grill","Mexican",1,9,3,"(508) 510-3041","27 Westgate Dr  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"John Goodtime","Vietnamese",1,10,3,"(508) 588-8833","379 Belmont St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Cristal Restaurant","American (Traditional)",2,6,4,"(508) 427-6900","250 Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"El Bochinche","Restaurants",1,3,3.5,"(508) 586-3666","680 Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Tamboo Bistro","American (New)",2,18,3,"(508) 584-8585","252 Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Taco Bell","Mexican",2,7,3.5,"(508) 588-2400","675 Belmont St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Restaurant Luanda","Portuguese",2,3,3.5,"(508) 427-1649","453 Centre St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"Maui Restaurant","Asian Fusion",2,24,3,"(508) 583-1010","1875 Main St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Heidis Place","American (New)",1,5,4.5,"(508) 583-0060","685 Warren Ave  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Bamboo Cafe","Chinese",2,30,4,"(508) 588-9188","1285 Belmont St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Brazil On the Grill","Brazilian",2,12,3,"(508) 588-6665","696 Crescent St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"Mikos Breakfast Cafe","Breakfast & Brunch",1,21,4,"(508) 232-6754","912 Crescent St  Brockton, MA 02302","02302","62,408","66,149","32,523","Brockton"
"Whites Bakery & Cafe","Bakeries",2,56,4,"(508) 584-5100","1041 Pearl St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
"Joe Angelos Cafe","American (Traditional)",2,12,3.5,"(508) 588-8331","11 Crescent St  Brockton, MA 02301","02301","48,470","58,674","61,459","Brockton"
