"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"Barcelona Brookline","Tapas/Small Plates",3,700,3.5,"(617) 264-8900","1700 Beacon St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Knight Moves","Cafes",1,51,4.5,"(617) 487-5259","1402 Beacon St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Lineage","American (New)",3,378,4.5,"(617) 232-0065","242 Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"The Abbey","American (New)",2,322,4,"(617) 730-8040","1657 Beacon St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"Bottega di Capri","Specialty Food",1,121,4,"(617) 738-5333","41 Harvard St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"The Daily Catch","Seafood",2,201,4,"(617) 734-2700","441 Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"The Publick House","Pubs",2,976,4,"(617) 277-2880","1648 Beacon St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"Cuttys","Coffee & Tea",1,274,4,"(617) 505-1844","284 Washington St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"The Washington Square Tavern","Bars",2,263,4,"(617) 232-8989","714 Washington St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"Orinoco","Caribbean",2,338,4,"(617) 232-9505","22 Harvard St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"Zaftigs Delicatessen","Breakfast & Brunch",2,1142,4,"(617) 975-0075","335 Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Bottega Fiorentina","Italian",1,214,4,"(617) 232-2661","313B Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Gyu-Kaku Japanese BBQ","Japanese",2,323,4,"(617) 264-6190","1002 Beacon St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Annas Taqueria","Mexican",1,896,4,"(617) 277-7111","446 Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Pineapple Thai Cuisine","Thai",2,36,4.5,"(617) 277-3000","6 Cypress St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"Shawarma King","Middle Eastern",1,278,4,"(617) 731-6035","1383 Beacon St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"OTTO Pizza","Pizza",2,369,4,"(617) 232-0014","289 Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Rod Dee Thai","Thai",1,235,4,"(617) 738-1455","1671 Beacon St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Fairsted Kitchen","American (New)",3,126,4,"(617) 396-8752","1704 Beacon St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"The Regal Beagle","Bars",2,478,3.5,"(617) 739-5151","308 Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"The Paris Creperie","Creperies",2,578,3.5,"(617) 232-1770","278 Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Brothers Restaurant","American (New)",2,101,4,"(617) 383-6268","404 Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Ramis","Middle Eastern",2,302,4,"(617) 738-3577","324 Harvard St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Brick Wall Kitchen","Salad",1,15,4,"(617) 879-9090","224 Cypress St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"Rifrullo","Cafes",2,47,4.5,"(617) 505-6727","147 Cypress St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"Livite","Juice Bars & Smoothies",1,16,4,"(617) 396-8383","1644 Beacon St  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
"Sichuan Gourmet","Chinese",2,228,5,"(617) 277-4226","1004 Beacon St  Brookline, MA 02446","02446","67,338","105,307","24,351","Brookline"
"Toichi Ichiban Japanese Cuisine","Sushi Bars",4,21,4,"(617) 277-0088","5 Kendall Street  Brookline, MA 02445","02445","105,027","160,933","21,282","Brookline"
