"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"Oleana Restaurant","Mediterranean",3,1082,3.5,"(617) 661-0505","134 Hampshire St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Alive & Kicking Lobsters","Seafood",2,522,4.5,"(617) 876-0451","269 Putnam Ave  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Giulia","Italian",3,234,4.5,"(617) 441-2800","1682 Massachusetts Ave  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"The Druid","Pubs",2,447,4.5,"(617) 497-0965","1357   Cambridge St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Alden & Harlow","American (Traditional)",3,651,4.5,"(617) 864-2100","40 Brattle St  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"Bom Cafe","Brazilian",1,111,4,"(617) 864-0395","1093   Cambridge St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Café Mami","Japanese",1,396,4.5,"(617) 547-9130","1815 Massachusetts Ave  Cambridge, MA 02140","02140","65,283","91,656","17,158","Cambridge"
"Russell House Tavern","American (New)",2,1416,4,"(617) 500-3055","14 JFK St  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"Tupelo","Southern",2,571,4,"(617) 868-0004","1193   Cambridge St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"The Coast Cafe","Southern",2,239,4,"(617) 354-7644","233 River St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Muqueca Restaurant","Latin American",2,529,3.5,"(617) 354-3296","1008   Cambridge Street  Cambridge, MA 02141","02141","57,909","79,408","12,010","Cambridge"
"Hokkaido Ramen Santouka","Ramen",2,436,4,"(617) 945-1460","1 Bow St  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"Basta Pasta Trattoria","Italian",2,352,4,"(617) 576-6672","319 Western Ave  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Lone Star Taco Bar","Mexican",2,83,4,"(857) 285-6179","635   Cambridge St  Cambridge, MA 02141","02141","57,909","79,408","12,010","Cambridge"
"Atwoods Tavern","Bars",2,320,4.5,"(617) 864-2792","877   Cambridge St  Cambridge, MA 02141","02141","57,909","79,408","12,010","Cambridge"
"Kimchi Kitchen","Korean",2,91,4,"(617) 714-3232","847   Cambridge St  Cambridge, MA 02141","02141","57,909","79,408","12,010","Cambridge"
"Park Restaurant & Bar","American (New)",2,446,4.5,"(617) 491-9851","59 JFK St  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"The Boathouse","American (New)",2,133,4,"(617) 349-1650","49 Mt Auburn St  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"Toscano","Italian",2,228,4,"(617) 354-5250","52 Brattle St  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"East Side Bar & Grille","Italian",2,250,4,"(617) 661-3278","561   Cambridge St  Cambridge, MA 02141","02141","57,909","79,408","12,010","Cambridge"
"The Table At Season To Taste","American (New)",4,46,3.5,"(617) 871-9468","2447 Massachusetts Ave  Cambridge, MA 02140","02140","65,283","91,656","17,158","Cambridge"
"Green Street","Lounges",2,605,5,"(617) 876-1655","280 Green St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Clover","Coffee & Tea",1,561,4,"","1326 Massachusetts Avenue  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"River Gods","Pubs",2,356,4,"(617) 576-1881","125 River St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"The Plough & Stars","Music Venues",2,270,4,"(617) 576-0032","912 Massachusetts Ave  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Puritan & Company","American (New)",3,275,4,"(617) 615-6195","1166   Cambridge St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"The Cellar","American (New)",2,236,4,"(617) 876-2580","991 Massachusetts Ave  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"Cuchi Cuchi","Tapas/Small Plates",3,858,4,"(617) 864-2929","795 Main St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Orinoco","Venezuelan",2,188,4,"(617) 354-6900","56 John F Kennedy St  Cambridge, MA 02138","02138","68,127","112,348","34,994","Cambridge"
"Bondir Cambridge","French",4,245,4,"(617) 661-0009","279A Broadway  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Punjabi Dhaba","Indian",1,639,3.5,"(617) 547-8272","225 Hampshire St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
"Olecito","Mexican",1,329,4,"(617) 876-1374","12 Springfield St  Cambridge, MA 02139","02139","62,821","83,356","35,273","Cambridge"
