"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"Cana Korean Restaurant","Korean",2,108,3.5,"(413) 592-1362","159 Grove St  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Priya Indian Cuisine","Indian",2,88,4.5,"(413) 594-5555","460 Memorial Dr  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Munich Haus","German",2,116,4.5,"(413) 594-8788","13 Center St  Chicopee, MA 01013","01013","36,578","46,179","22,907","Chicopee"
"Frontera Grill","Mexican",2,102,4.5,"(413) 612-2800","1625 Memorial Dr  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Quickys Restaurant","American (Traditional)",1,13,4,"(413) 592-4786","2 Springfield St  Chicopee, MA 01013","01013","36,578","46,179","22,907","Chicopee"
"Masses American Bistro","Seafood",2,29,4.5,"(413) 315-8501","1329 Memorial Dr  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"The Copperline Eatery","Breakfast & Brunch",1,32,3.5,"(413) 594-8332","409 Broadway St  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Bernies Dining Depot","Steakhouses",2,86,4,"(413) 539-9268","749 James St  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Chick-fil-A","Fast Food",1,43,3.5,"(413) 592-4500","501 Memorial Dr  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Homestyle Cafe","Restaurants",2,6,4.5,"(413) 593-3282","1780 Westover Rd  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Johns Pizzeria & Restaurant","Pizza",2,13,3.5,"(413) 592-1715","424 Front St  Chicopee, MA 01013","01013","36,578","46,179","22,907","Chicopee"
"Lucky Strike Restaurant","Diners",2,27,4.5,"(413) 536-7912","703 Grattan St  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"99 Restaurant & Pub","Pubs",2,6,3.5,"(413) 593-9909","555 Memorial Drive  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Pos Chinese Restaurant","Chinese",1,10,4.5,"(413) 598-8826","480 Burnett Rd  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Hu Ke Lau","Performing Arts",2,67,4.5,"(413) 593-5222","705 Memorial Dr  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Petros Breakfast & Lunch","Breakfast & Brunch",1,14,3,"(413) 331-4422","351 Front St  Chicopee, MA 01013","01013","36,578","46,179","22,907","Chicopee"
"Fifties Diner","American (Traditional)",1,28,4,"(413) 594-5436","363 Burnett Rd  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Brothers Pizza","Pizza",1,9,3,"(413) 532-8452","653 Grattan St  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Ninety Nine","American (Traditional)",2,2,4,"","555 Memorial Dr  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
"Magris Fruit Co","Fruits & Veggies",2,7,5,"(413) 535-1200","2009 Memorial Dr  Chicopee, MA 01020","01020","50,058","58,516","29,626","Chicopee"
