"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"El Maya","Mexican",1,41,4,"(508) 820-1717","144 Waverly St  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"Foodie Cafe","Sandwiches",1,43,5,"(508) 309-7349","102 Fountain St  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"Aoi Japanese Restaurant","Japanese",2,36,4.5,"(508) 861-3613","855 Worcester Rd  Framingham, MA 01701","01701","92,018","102,936","31,114","Framingham"
"Sichuan Gourmet","Chinese",2,343,4.5,"(508) 626-0248","271 Worcester Rd  Framingham, MA 01701","01701","92,018","102,936","31,114","Framingham"
"Mediterranean Turkish Food","Turkish",2,125,4,"(508) 202-4688","1609 Concord St  Framingham, MA 01701","01701","92,018","102,936","31,114","Framingham"
"Thai Place","Thai",2,96,4.5,"(508) 202-9704","290 Worcester Rd  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"Pueblito Paisa Colombia Restaurant","Colombian",2,24,4,"(508) 424-1125","66 Hollis St  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"Big Fresh","Mediterranean",2,25,4.5,"(508) 879-7000","50 Worcester Rd  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"J & M Diner, Inc","Diners",2,385,4.5,"(508) 875-7811","969 Concord St  Framingham, MA 01701","01701","92,018","102,936","31,114","Framingham"
"Pho Dakao","Vietnamese",2,123,4.5,"(508) 872-2211","101 Concord St  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"John Harvards Brewery & Ale House","American (Traditional)",2,250,3.5,"(508) 875-2337","1 Worcester Rd  Framingham, MA 01701","01701","92,018","102,936","31,114","Framingham"
"Taqueria Mexico","Mexican",1,17,3.5,"(508) 875-8300","40 Concord St  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"Anastasias Pizza, Oven And Grill","Pizza",1,40,4,"(508) 620-6972","12 Union Ave  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"Terra Brasilis Restaurant - Union Avenue","Brazilian",2,44,4,"(508) 620-9354","94 Union Ave  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"The Aztec","Mexican",2,69,4,"(508) 820-2523","2 Waverly St  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"Deluxe Depot Diner","Diners",2,136,4,"(508) 872-6400","415 Waverly St  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"Green Leaf Vegetarian & Vegan Restaurant","Vegan",2,159,3.5,"(508) 309-3009","665 Cochituate Rd  Framingham, MA 01701","01701","92,018","102,936","31,114","Framingham"
"Tropical Cafe","Brazilian",2,42,4,"(508) 879-8765","85 Hollis St  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
"Frescafe","American (Traditional)",1,65,4,"(508) 879-2233","82 Concord St  Framingham, MA 01702","01702","53,081","65,995","35,990","Framingham"
