"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"The Blue Ox","American (New)",2,344,3.5,"(781) 780-5722","191 Oxford St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Rossetti Restaurant","Italian",2,92,4.5,"(781) 599-2051","47 Sutton St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Antique Table","Italian",2,107,4.5,"(781) 477-9778","2 Essex St  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Cafe Moka","Breakfast & Brunch",1,22,4,"(781) 584-8957","56 Central Sq  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Brunos Bar and Burger","Burgers",2,32,5,"(781) 596-2342","858 Western Ave  Lynn, MA 01905","01905","42,449","51,336","23,905","Lynn"
"Brothers Deli","Delis",1,24,4,"(781) 581-3363","41 Market St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Rite Spice Caribbean","Caribbean",1,21,4.5,"(781) 581-1000","532 Western Ave  Lynn, MA 01904","01904","69,263","77,218","17,916","Lynn"
"Aprils Pub & Grill","American (Traditional)",1,33,4.5,"(781) 780-9986","41 Buffum street  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Christies Restaurant","Seafood",2,9,4.5,"(781) 598-1122","17   Lynnway  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Enzos Pizzeria","Pizza",2,26,4.5,"(781) 599-2986","129 Oxford St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Casa Antigua","Latin American",2,14,3.5,"(781) 584-8240","129 Oxford St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Pho Minh Ky","Vietnamese",1,66,4.5,"(781) 477-0656","238 Union St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Apsara Angkor","Cambodian",1,41,4,"(781) 477-6045","877 Western Ave  Lynn, MA 01905","01905","42,449","51,336","23,905","Lynn"
"Four Winds Pub & Grill","American (Traditional)",2,51,3.5,"(781) 595-5444","265 Broadway  Lynn, MA 01904","01904","69,263","77,218","17,916","Lynn"
"Mexico Lindo","Mexican",1,28,4,"(781) 477-4222","16 Market St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Old Tyme Italian Cuisine","Italian",2,40,4.5,"(781) 596-1111","612 Boston St  Lynn, MA 01905","01905","42,449","51,336","23,905","Lynn"
"Thai Cafe","Thai",1,26,4,"(781) 598-0522","114 Broad St  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Capitol Diner","Diners",1,44,4,"(781) 595-9314","431 Union St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"R. F. OSullivans","American (Traditional)",2,42,4.5,"(339) 440-4564","151 Central Ave  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Lazy Dog Sports Bar","American (Traditional)",2,45,3.5,"(781) 477-1988","328 Broadway  Lynn, MA 01904","01904","69,263","77,218","17,916","Lynn"
"Tacos Lupita","Mexican",1,103,3.5,"(781) 593-6437","129 Munroe St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Hacienda Corona","Mexican",1,27,4,"(781) 581-2073","649   Lynnway  Lynn, MA 01905","01905","42,449","51,336","23,905","Lynn"
"Las Delicias","Mexican",2,4,4,"(781) 598-2224","180 Union St  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Brick Yard Bar & Grill","Bars",1,6,5,"(781) 595-9468","163 Blossom St  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Rollys Tavern on the Square","Sports Bars",2,41,4.5,"(781) 599-2160","338 Broadway  Lynn, MA 01904","01904","69,263","77,218","17,916","Lynn"
"Angkor Wat Restaurant","Cambodian",1,17,3.5,"(781) 596-3860","38 Bennett St  Lynn, MA 01905","01905","42,449","51,336","23,905","Lynn"
"Athas Famous Roast Beef Pizza & Subs","Ethnic Food",1,18,4,"(781) 595-9599","25 Boston St  Lynn, MA 01904","01904","69,263","77,218","17,916","Lynn"
"Tony Tipico","Dominican",1,11,4,"(781) 592-1912","272 Essex St  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Porthole","Seafood",2,93,3.5,"(781) 595-7733","98   Lynnway  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"BLTS Breakfast Lunch & Takeout","Breakfast & Brunch",1,12,3,"(781) 598-9284","176 Broad St  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Deas Diner","Diners",1,5,3.5,"(781) 581-4000","898 Western Ave  Lynn, MA 01905","01905","42,449","51,336","23,905","Lynn"
"Alfredos Italian Kitchen","Italian",2,27,5,"(781) 584-4954","425   Lynnway  Lynn, MA 01905","01905","42,449","51,336","23,905","Lynn"
"Superior Roast Beef & Seafood","Seafood",2,18,3.5,"(781) 599-3223","200   Lynnfield St  Lynn, MA 01904","01904","69,263","77,218","17,916","Lynn"
"Cali Sandwich","Sandwiches",1,10,4,"(781) 581-5090","49 Union St  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Tonys Pub","Pubs",1,18,4,"(781) 599-5522","196 Franklin St  Lynn, MA 01904","01904","69,263","77,218","17,916","Lynn"
"Crown Fried Chicken","Chicken Wings",1,14,4,"(781) 780-7047","60 Market Sq  Lynn, MA 01905","01905","42,449","51,336","23,905","Lynn"
"Kens Kickin Chicken","Comfort Food",2,16,4,"(781) 599-6838","252 Maple St  Lynn, MA 01904","01904","69,263","77,218","17,916","Lynn"
"Bernies Place","American (New)",1,2,4,"(781) 584-6557","80 Central Ave  Lynn, MA 01901","01901","18,257","33,810","1,630","Lynn"
"Giovannis House of Pizza","Pizza",1,17,5,"(781) 598-1418","15 Lewis St  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Tropical Restaurant","Spanish",1,5,4,"(781) 593-6200","429   Lynnway  Lynn, MA 01905","01905","42,449","51,336","23,905","Lynn"
"Christophers Cafe","Breakfast & Brunch",1,56,3.5,"(781) 596-2200","2 Lewis St  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Angelinas Sandwich Shop","Sandwiches",1,14,4,"(781) 595-9576","57 Washington St  Lynn, MA 01902","01902","38,107","49,159","45,617","Lynn"
"Cafe 39","Coffee & Tea",1,15,4,"(781) 477-0766","515 Chestnut St  Lynn, MA 01904","01904","69,263","77,218","17,916","Lynn"
