"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"Innas Kitchen","Delis",1,113,3.5,"(617) 244-5345","19 Pelham St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Sycamore","American (New)",3,143,4.5,"(617) 244-4445","755 Beacon St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Lees Burger Place","Burgers",1,200,4.5,"(617) 795-2022","216 Sumner St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Comedor","American (New)",2,156,4.5,"(857) 404-0260","105 Union St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Po Boy","Sandwiches",1,89,4,"(617) 244-4005","67 Crafts St  Newton, MA 02458","02458","90,740","123,497","12,603","Newton"
"Lumiere","French",3,226,4.5,"(617) 244-9199","1293 Washington St  Newton, MA 02465","02465","110,531","158,982","11,789","Newton"
"Max and Leos","Pizza",2,215,4.5,"(617) 244-7200","325 Washington St  Newton, MA 02458","02458","90,740","123,497","12,603","Newton"
"Farmstead Table","American (New)",3,149,4.5,"(617) 928-6000","71 Union St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Walnut Grille","Vegan",2,163,4.5,"(617) 964-1029","1203 Walnut St  Newton, MA 02461","02461","110,373","149,143","6,599","Newton"
"Manow Thai Kitchen","Thai",2,34,3.5,"(617) 244-2858","1138 Beacon St.  Newton, MA 02461","02461","110,373","149,143","6,599","Newton"
"The Broken Grounds Cafe","Coffee & Tea",1,23,4.5,"(617) 969-3535","1182 Walnut St  Newton, MA 02461","02461","110,373","149,143","6,599","Newton"
"Four Spoons Thai Inspired Cuisine & Bar","Thai",2,59,5,"(617) 332-5888","796 Beacon St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"COOK","Diners",2,238,4,"(617) 964-2665","825 Washington St  Newton, MA 02460","02460","107,495","140,026","8,772","Newton"
"Jakes Falafel Corner","Falafel",1,100,4,"(617) 640-2995","740 A Beacon St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"The Farm Grill & Rotisserie","Greek",2,174,4.5,"(857) 702-8186","40 Needham St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Little Big Diner","Asian Fusion",2,66,4,"(857) 404-0068","1247 Centre St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Los Amigos Taqueria","Mexican",1,88,4,"","324 Walnut St  Newton, MA 02460","02460","107,495","140,026","8,772","Newton"
"Buffs Pub","American (Traditional)",2,307,4,"(617) 332-9134","317 Washington St  Newton, MA 02458","02458","90,740","123,497","12,603","Newton"
"Village Cafe","Diners",1,86,4,"(617) 795-5200","719 Washington St  Newton, MA 02458","02458","90,740","123,497","12,603","Newton"
"The Local","American (New)",2,271,3.5,"(617) 340-2160","1391 Washington St  Newton, MA 02465","02465","110,531","158,982","11,789","Newton"
"Terry OReillys Irish Pub","Irish",2,51,3.5,"(617) 964-9275","45 Union St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Rox Diner","Diners",2,218,4,"(617) 916-1795","335 Walnut St  Newton, MA 02460","02460","107,495","140,026","8,772","Newton"
"Tartufo Cucina Abruzzese","Italian",3,97,3.5,"(617) 244-8833","22 Union St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Judiths Kitchen","Cafes",2,17,3.5,"(617) 916-9282","1371 Washington St  Newton, MA 02465","02465","110,531","158,982","11,789","Newton"
"West Street Tavern & Restaurant","Irish",2,82,4.5,"(617) 795-0883","7 West St  Newton, MA 02458","02458","90,740","123,497","12,603","Newton"
"New England Soup Factory","Soup",1,159,4,"(617) 558-9988","244 Needham St  Newton, MA 02464","02464","81,143","111,517","2,958","Newton"
"Brewers Coalition","American (New)",2,145,4,"(617) 964-7600","344 Walnut St  Newton, MA 02460","02460","107,495","140,026","8,772","Newton"
"Johnnys Luncheonette","Diners",2,235,3.5,"(617) 527-3223","30 Langley Rd  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Coconut Cafe","Thai",2,131,3.5,"(617) 244-7050","759 Beacon St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Social Restaurant & Bar","American (Traditional)",2,109,4,"(617) 244-4800","320 Washington St  Newton, MA 02458","02458","90,740","123,497","12,603","Newton"
"Union Street","American (Traditional)",2,277,3,"(617) 964-6684","107R Union St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Deluxe Station Diner","Diners",2,234,3,"(617) 244-2550","70 Union St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"No1 Noodle House","Chinese",1,116,3.5,"(617) 527-8810","51 Langley Rd  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
"Sichuan Gourmet House","Szechuan",2,47,3.5,"(617) 964-3500","1203R Walnut St  Newton, MA 02461","02461","110,373","149,143","6,599","Newton"
"Johnnys Pizza & Smokehouse","Pizza",1,43,4,"(617) 641-9922","388 Watertown St  Newton, MA 02458","02458","90,740","123,497","12,603","Newton"
"Knotty Pine","Breakfast & Brunch",1,72,4,"(617) 527-9864","295 Auburn St  Newton, MA 02466","02466","115,116","167,280","7,010","Newton"
"Daikanyama","Japanese",3,67,4,"(617) 332-1998","199 Boylston St  Newton, MA 02467","02467","130,044","220,734","15,408","Newton"
"Comellas","Italian",2,105,3.5,"(617) 928-1001","1302 Washington St  Newton, MA 02465","02465","110,531","158,982","11,789","Newton"
"Sushi Man","Sushi Bars",2,73,4,"(617) 969-7878","387 Boylston St  Newton, MA 02459","02459","128,598","176,962","18,940","Newton"
