"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"Just Right Farm","American (New)",1,16,3.5,"(781) 936-5330","140 Palmer Rd  Plympton, MA 02367","02367","87,917","98,668","2,622","Plympton"
"The Village Cafe","Cafes",4,5,5,"(781) 585-7490","286 Main St  Plympton, MA 02367","02367","87,917","98,668","2,622","Plympton"
"Alden Park","American (New)",2,43,4,"(508) 830-6777","160 Colony Pl RdPlymouth, MA 02360","02360","74,603","86,753","51,563","Plympton"
"Solstice","American (New)",2,107,4,"(781) 585-2221","63 Summer StKingston, MA 02364","02364","78,923","100,027","11,805","Plympton"
"Plympton Pizza","Pizza",3,82,4,"(781) 585-2272","286 Main St  Plympton, MA 02367","02367","87,917","98,668","2,622","Plympton"
"Mamma Mias","Italian",2,33,4,"(508) 866-7900","73 Main StCarver, MA 02330","02330","70,048","77,569","11,169","Plympton"
"Carmelas","Italian",2,40,4,"(781) 585-2148","136 Main StKingston, MA 02364","02364","78,923","100,027","11,805","Plympton"
"The Frosty Dog","Ice Cream & Frozen Yogurt",1,7,4,"(508) 465-2291","58 N Main StCarver, MA 02330","02330","70,048","77,569","11,169","Plympton"
"Mayflower Grove Grill","Breakfast & Brunch",2,35,4.5,"(781) 294-4814","35 School StPembroke, MA 02359","02359","83,622","95,280","16,907","Plympton"
"Plane Jane Cafe","Cafes",1,23,3.5,"(508) 747-9396","246 S Meadow RdPlymouth, MA 02360","02360","74,603","86,753","51,563","Plympton"
"Port Bistro","American (New)",3,27,3,"(781) 936-8764","114 Main StKingston, MA 02364","02364","78,923","100,027","11,805","Plympton"
"Dillons Local","Pubs",2,25,3.5,"(774) 404-7913","21 South Park AvePlymouth, MA 02360","02360","74,603","86,753","51,563","Plympton"
"Finnas Tavern","American (Traditional)",2,33,5,"(781) 582-1022","6 Pembroke StKingston, MA 02364","02364","78,923","100,027","11,805","Plympton"
"The Cabin","Pizza",2,54,3,"(508) 947-8590","114 E Grove StMiddleboro, MA 02346","02346","72,466","80,698","19,926","Plympton"
"Boston Tavern","American (New)",2,65,4,"(508) 923-0099","58 E Grove StMiddleboro, MA 02346","02346","72,466","80,698","19,926","Plympton"
"Kogi Bar and Grill","Korean",2,48,4,"(774) 773-8568","8 Court StPlymouth, MA 02360","02360","74,603","86,753","51,563","Plympton"
"DiNatale Seafood","Seafood",2,33,4.5,"(508) 591-8209","315 Court StPlymouth, MA 02360","02360","74,603","86,753","51,563","Plympton"
"RooBar","American (New)",2,77,3.5,"(508) 746-4300","10 Cordage Park CirPlymouth, MA 02360","02360","74,603","86,753","51,563","Plympton"
"KKaties Burger Bar","Burgers",2,214,3.5,"(774) 773-9444","38 Main St ExtensionPlymouth, MA 02360","02360","74,603","86,753","51,563","Plympton"
"Tuscany Tavern","Italian",3,50,4.5,"(508) 747-9291","294 Court StPlymouth, MA 02360","02360","74,603","86,753","51,563","Plympton"
"Chatta Box","Thai",2,170,3.5,"(508) 697-8898","755 Bedford StBridgewater, MA 02324","02324","80,879","87,642","22,922","Plympton"
"Cornerstones","Bars",2,19,4.5,"(508) 866-2665","93 N Main StCarver, MA 02330","02330","70,048","77,569","11,169","Plympton"
"Blue Eyed Crab Caribbean Grill & Rum Bar","Seafood",2,252,2.5,"(508) 747-6776","170 Water StPlymouth, MA 02360","02360","74,603","86,753","51,563","Plympton"
"Nicks & Angelo Pizza Place","Pizza",1,22,4,"(508) 697-1948","2105 Plymouth StEast Bridgewater, MA 02333","02333","82,133","89,922","13,012","Plympton"
"Mama Chef","Restaurants",1,4,4,"","101 Independence Mall WayKingston, MA 02364","02364","78,923","100,027","11,805","Plympton"
