"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"The Townshend","American (New)",2,103,3.5,"(617) 481-9694","1250 Hancock St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"The Fat Cat","American (New)",2,1001,4.5,"(617) 471-4363","24 Chestnut St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Fairy Cafe","Coffee & Tea",1,108,4,"(617) 773-8880","16 Brook St  Quincy, MA 02170","02170","64,309","77,390","19,203","Quincy"
"Burkes Seafood","Seafood",2,154,4.5,"(617) 328-9765","61 Billings Rd  Quincy, MA 02171","02171","66,808","80,719","16,610","Quincy"
"Craigs Cafe","Breakfast & Brunch",1,174,4.5,"(617) 770-9271","1354 Hancock St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Tonys Clam Shop","Seafood",2,260,4,"(617) 773-5090","861   Quincy Shore Dr  Quincy, MA 02170","02170","64,309","77,390","19,203","Quincy"
"Little Duck Thai Restaurant","Thai",2,237,4,"(617) 479-3157","57 Granite St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Angelos Coal Fired Pizza","Pizza",2,141,4,"(617) 302-3200","1657 Hancock St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Gennaros Eatery","Italian",2,263,4,"(617) 773-1500","12 Blanchard Rd  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Alba Restaurant","Italian",3,224,4,"(617) 376-2522","1486 Hancock St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Grumpy Whites","American (Traditional)",2,156,4,"(617) 770-2835","211 Sea St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Falafel King","Falafel",1,163,4.5,"(617) 773-0100","1504 Hancock St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"The Wheelhouse Diner","Diners",1,176,4,"(617) 328-3666","453 Hancock St  Quincy, MA 02171","02171","66,808","80,719","16,610","Quincy"
"Fuji Restaurant","Japanese",2,237,4,"(617) 773-0888","698 Hancock St  Quincy, MA 02170","02170","64,309","77,390","19,203","Quincy"
"Pho Countryside","Vietnamese",1,221,4,"(617) 328-8831","217A   Quincy Ave  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"B Cafe","Sushi Bars",1,268,4,"(617) 657-0008","405 Hancock St  Quincy, MA 02171","02171","66,808","80,719","16,610","Quincy"
"The Lobster Stop","Seafood",2,155,4.5,"(617) 405-4760","723 Washington St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"The Fox & Hound Wood Grill & Tavern","American (Traditional)",2,260,3.5,"(617) 471-4030","125 Sea St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Cagneys Restaurant & Pub","American (Traditional)",2,89,4,"(617) 847-3940","214 Washington St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"The Fours Quincy","American (Traditional)",2,210,3.5,"(617) 934-4792","15 Cottage Ave  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Bistro Chi","Chinese",2,157,3.5,"(617) 773-3000","37 Cottage Ave  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Punjab Cafe","Indian",2,352,4,"(617) 472-4860","653 Southern Artery  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Yummy Cafe","Chinese",1,49,4.5,"(617) 773-0088","669 Hancock St  Quincy, MA 02170","02170","64,309","77,390","19,203","Quincy"
"Granite Street Cafe","Irish",1,62,4,"(617) 328-7774","378 Granite St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"The Healthy Kitchen","American (Traditional)",1,29,4,"(617) 471-3463","110 Willard St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Pad Thai","Thai",2,124,4,"(617) 302-4223","671 Hancock St  Quincy, MA 02170","02170","64,309","77,390","19,203","Quincy"
"Maggys Lounge","Bars",2,61,3.5,"(617) 481-5141","609 Washington St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
"Rozafa Mediterranean Bistro","Mediterranean",2,37,4.5,"(617) 657-5111","1089 Hancock St  Quincy, MA 02169","02169","56,647","69,210","52,278","Quincy"
