"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"Chef Waynes Big Mamou","Cajun/Creole",2,225,3.5,"(413) 732-1011","63 Liberty StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Eat","Breakfast & Brunch",1,58,4.5,"(413) 276-0040","609 Page BlvdSpringfield, MA 01104","01104","35,380","43,969","22,078","Springfiled"
"Saray II","Turkish",2,37,4.5,"(413) 796-5505","1374 Allen StSpringfield, MA 01118","01118","55,853","62,546","14,283","Springfiled"
"Theodores Booze Blues & BBQ","Barbeque",2,215,4.5,"(413) 736-6000","201 Worthington StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Plan B Springfield","Burgers",2,252,4.5,"(413) 285-8296","1000 W Columbus AveSpringfield, MA 01105","01105","17,756","27,144","12,816","Springfiled"
"Student Prince Cafe and Fort Restaurant","German",2,140,4,"(413) 734-7475","8 Fort StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Hot Table","Sandwiches",1,37,4,"(413) 782-8800","455 Breckwood BlvdSpringfield, MA 01109","01109","34,638","44,049","30,683","Springfiled"
"Cornerstone Cafe","Cafes",1,20,4.5,"(413) 746-1025","1414 Main StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Blackjack Steakhouse","American (New)",2,33,4.5,"(413) 737-2784","912 Main StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Soc Trang Vietnamese Restaurant","Vietnamese",1,30,4,"(413) 736-9999","113 Vermont StSpringfield, MA 01108","01108","37,411","48,866","26,060","Springfiled"
"Red Rose Pizzeria","Pizza",2,159,3.5,"(413) 739-8510","1060 Main StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Frigo Gourmet Foods","Caterers",1,59,4,"(413) 732-5428","90 William StSpringfield, MA 01105","01105","17,756","27,144","12,816","Springfiled"
"Felixs Family Ristorante","Italian",2,21,5,"(413) 739-7300","214 Dickinson StSpringfield, MA 01108","01108","37,411","48,866","26,060","Springfiled"
"Moctezumas Tradition and Flavor","Mexican",1,26,4,"(413) 351-2239","684 Belmont AveSpringfield, MA 01108","01108","37,411","48,866","26,060","Springfiled"
"El Salvador Restaurant","Latin American",1,7,4.5,"(413) 781-5707","231 Hancock StSpringfield, MA 01109","01109","34,638","44,049","30,683","Springfiled"
"Bueno y Sano","Mexican",1,98,5,"(413) 301-0976","880 Sumner AveSpringfield, MA 01108","01108","37,411","48,866","26,060","Springfiled"
"Maxs Tavern","Pubs",3,127,4,"(413) 746-6299","1000 Hall Of Fame AveSpringfield, MA 01105","01105","17,756","27,144","12,816","Springfiled"
"Panjabi Tadka","Indian",2,54,3.5,"(413) 732-1453","1688 Main StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Typical Sicilian","Italian",2,66,4,"(413) 739-7100","497 Belmont AveSpringfield, MA 01108","01108","37,411","48,866","26,060","Springfiled"
"350 Grill","American (New)",3,61,4,"(413) 439-0666","350 Worthington StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Adolfos Ristorante","Italian",2,41,3.5,"(413) 746-5000","254 Worthington StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Felixs Breakfast and Sandwich Shop","Delis",1,35,4,"(413) 306-6010","67 Liberty StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Wild Olive Pizzeria","Sandwiches",1,32,4,"(413) 788-8791","699 Sumner AveSpringfield, MA 01108","01108","37,411","48,866","26,060","Springfiled"
"Bánh Mì Mia","Vietnamese",1,26,4,"(413) 888-2223","390 Dickinson StSpringfield, MA 01108","01108","37,411","48,866","26,060","Springfiled"
"Salsas Gourmet Mexican Restaurant","Mexican",1,30,4.5,"(413) 746-4456","403 Dickinson StSpringfield, MA 01108","01108","37,411","48,866","26,060","Springfiled"
"Jakes Wayback Burgers","Burgers",1,36,4,"(413) 342-4002","1375 Carew StSpringfield, MA 01104","01104","35,380","43,969","22,078","Springfiled"
"Leones Restaurant","Pizza",2,39,4,"(413) 783-4363","320 Cooley StSpringfield, MA 01128","01128","63,177","66,605","3,040","Springfiled"
"Hot Table","Sandwiches",1,29,4,"(413) 731-1200","1500 Main StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Nadims Downtown Mediterranean Grill","Mediterranean",2,53,4,"(413) 737-7373","1390 Main StSpringfield, MA 01103","01103","16,963","25,747","2,731","Springfiled"
"Pho Saigon Restaurant","Vietnamese",2,121,3.5,"(413) 781-4488","400 Dickinson StSpringfield, MA 01108","01108","37,411","48,866","26,060","Springfiled"
"Puerto Rican Bakery & Restaurant","Spanish",2,30,3.5,"(413) 732-0259","214 Armory SqSpringfield, MA 01104","01104","35,380","43,969","22,078","Springfiled"
"Rufuss Full of Flavor Diner","Diners",1,11,4,"(413) 732-4222","810 Cottage StSpringfield, MA 01104","01104","35,380","43,969","22,078","Springfiled"
"Luxe Burger Bar","Burgers",1,109,4.5,"(413) 785-5893","1200 W Columbus AveSpringfield, MA 01105","01105","17,756","27,144","12,816","Springfiled"
