"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"Kinfolks Award Winning BBQ","Food Stands",2,31,3.5,"(850) 694-1074","5 Cape Rd  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"El Mariachi","Mexican",2,148,5,"(508) 821-5953","44   Taunton Grn  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Home Plate Bay Street Grill","American (Traditional)",2,70,4,"(508) 823-1000","1094 Bay St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"La Familia","Italian",2,48,4,"(508) 823-8664","431 Winthrop St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"The Baha Brothers Sandbar Grill","American (New)",2,28,4,"(508) 824-2200","64 Weir St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Off Broadway Diner","Breakfast & Brunch",1,31,3.5,"(508) 880-7700","19   Taunton Grn  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Fusion Kitchen","Sushi Bars",2,54,4.5,"(508) 822-8833","17-19 School St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Mediterranean Grill","Greek",2,33,3.5,"(508) 824-9030","983 County St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Frates Drive-In","Ice Cream & Frozen Yogurt",2,28,3.5,"(508) 880-4900","1423 Somerset Ave  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Ugly Duckling Restaurant & Bar","American (New)",2,26,4,"(508) 692-9586","47 Weir St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Bunnys Restaurant","Breakfast & Brunch",2,7,3.5,"(508) 297-6106","3 Tremont St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"El Tapatio Express","Mexican",1,6,4.5,"(774) 501-2395","8 Galleria Mall Dr  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Joes Diner","Breakfast & Brunch",1,33,5,"(508) 823-2193","51 Broadway  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Taunton Sports Restaurant","Portuguese",2,5,4,"(508) 823-9516","33 Baker Rd W  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Smokey Bones","Barbeque",2,31,4,"(508) 884-9566","1023 County St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"DeVitos Pizzeria","Pizza",1,31,3,"(508) 977-0444","4   Taunton Green  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Tex Barrys Coney Island Hot Dogs","Hot Dogs",1,16,3.5,"(508) 824-9256","15 Main St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Yamato Japanese Steakhouse & Sushi","Japanese",2,31,4.5,"(508) 977-9888","278 Winthrop St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"TJs","Portuguese",2,7,3,"(508) 880-0460","4 Alger Ave  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Maxx Burgers","Burgers",2,18,3.5,"(508) 822-1337","289 Winthrop St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
"Coffee Milano","Cafes",1,16,3.5,"(508) 386-2370","67 Main St  Taunton, MA 02780","02780","53,796","62,457","49,469","Taunton"
