"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEAN_SAL","POP","city"
"Lime Leaf","Thai",2,226,3.5,"(339) 499-5350","435 Columbian St  Weymouth, MA 02190","02190","74,205","89,585","16,780","Weymouth"
"Mad Hatter Cafe","Breakfast & Brunch",1,219,4.5,"(339) 201-4247","119 Main St  Weymouth, MA 02188","02188","65,251","80,495","13,828","Weymouth"
"Passport","Tapas/Small Plates",2,120,4.5,"(339) 201-4189","61 Washington St  Weymouth, MA 02188","02188","65,251","80,495","13,828","Weymouth"
"Union Brewhouse","Burgers",2,85,4,"(781) 340-0440","550 Washington St  Weymouth, MA 02188","02188","65,251","80,495","13,828","Weymouth"
"Jennas Drive In","Seafood",2,31,4,"(781) 337-0823","259 Park Ave  Weymouth, MA 02190","02190","74,205","89,585","16,780","Weymouth"
"Warrens Place","Pizza",1,39,4.5,"(781) 331-7575","27 Pleasant St  Weymouth, MA 02190","02190","74,205","89,585","16,780","Weymouth"
"Sweet Lemons","Thai",2,95,4,"(781) 340-5551","828 Washington St  Weymouth, MA 02189","02189","62,491","73,956","14,455","Weymouth"
"Jimmys Broad Street Diner","American (Traditional)",1,38,4,"(781) 337-6620","122 Broad St  Weymouth, MA 02189","02189","62,491","73,956","14,455","Weymouth"
"Stockholders","Seafood",3,183,4,"(781) 335-3100","1073 Main St  Weymouth, MA 02190","02190","74,205","89,585","16,780","Weymouth"
"Taj Modern Indian Cuisine","Indian",2,46,3.5,"(781) 803-2521","312 Bridge St  Weymouth, MA 02191","02191","68,143","75,926","8,916","Weymouth"
"Denly Gardens","Pizza",1,61,3.5,"(781) 335-9882","25 Lake St  Weymouth, MA 02189","02189","62,491","73,956","14,455","Weymouth"
"Thats Italian Too","Sandwiches",1,29,4,"(781) 337-5414","957 Washington St  Weymouth, MA 02189","02189","62,491","73,956","14,455","Weymouth"
"The Red Rose Cafe","Cafes",1,18,4.5,"(781) 337-3322","800 Broad St  Weymouth, MA 02189","02189","62,491","73,956","14,455","Weymouth"
"Ecco Trattoria","Italian",2,85,4,"(781) 335-5600","1167 Main St  Weymouth, MA 02190","02190","74,205","89,585","16,780","Weymouth"
"Nicks Restaurant","Diners",1,21,3.5,"(781) 337-3270","33 Washington St  Weymouth, MA 02189","02189","62,491","73,956","14,455","Weymouth"
"Nikos Restaurant","Diners",1,82,4,"(781) 335-4423","948 Broad St  Weymouth, MA 02188","02188","65,251","80,495","13,828","Weymouth"
"Main Street Grille","American (Traditional)",2,57,3.5,"(781) 337-0801","1400 Main St  Weymouth, MA 02190","02190","74,205","89,585","16,780","Weymouth"
"The Mooring Bar and Grill","Bars",2,24,3.5,"(781) 812-2284","117 Bridge St  Weymouth, MA 02191","02191","68,143","75,926","8,916","Weymouth"
"Old Country Pizzeria","Pizza",2,16,4,"(781) 331-3838","1515 Commercial St  Weymouth, MA 02189","02189","62,491","73,956","14,455","Weymouth"
"Olympic Pizza","Pizza",1,28,4,"(781) 335-5990","15 Union St  Weymouth, MA 02190","02190","74,205","89,585","16,780","Weymouth"
"Capones Pizzeria and Prohibition Pub","Pizza",2,59,3.5,"(781) 340-0033","1229 Washington St  Weymouth, MA 02189","02189","62,491","73,956","14,455","Weymouth"
