"city_name","mean_price","median_price","median_reviews","mean_reviews","median_star","mean_star","mean_of_median_salary","population"
"Boston",1.7432735426009,2,126,211.02130044843,3.5,3.7219730941704,90,93906
"Brockton",1.57643312101911,2,13,26.1728813559322,3.5,3.51114649681529,114,38708
"Brookline",1.8239608801956,2,217,305.210784313725,4,4.01466992665037,89,39564
"Cambridge",1.77078085642317,2,151,228.447570332481,3.5,3.64861460957179,98,41022
"Chicopee",1.55031446540881,2,12,21.7750865051903,3.5,3.65880503144654,46,33008
"Framingham",1.60771704180064,2,35,67.013201320132,3.5,3.40192926045016,171,35690
"Heverhill",NA,NA,NA,NA,NA,NA,NA,0
"Lawrence",NA,NA,NA,NA,NA,NA,NA,0
"Lowell",NA,NA,NA,NA,NA,NA,NA,0
"Lynn",1.48888888888889,1,26,50.8790697674419,4,3.65333333333333,52,21466
"Malden",NA,NA,NA,NA,NA,NA,NA,0
"Newton",1.70863309352518,2,90,132.380434782609,4,3.79856115107914,74,27284
"Plympton",1.63492063492063,2,23,35.7561983471074,3.5,3.6031746031746,137,25823
"Quincy",1.625,2,47,76.6653543307087,3.5,3.4469696969697,80,34367
"Revere",NA,NA,NA,NA,NA,NA,NA,0
"Somerville",NA,NA,NA,NA,NA,NA,NA,0
"Springfiled",1.61660079051383,2,20.5,32.6906779661017,4,3.76482213438735,48,21370
"Taunton",1.59765625,2,20,31.3786008230453,3.5,3.521484375,134.5,29551
"Weymouth",1.67021276595745,2,48,78.2928571428571,3.5,3.60283687943262,108,27417
"Worcester",1.55072463768116,2,27,48.254752851711,4,3.7445652173913,57,25991
