"zip_code","city_name","mean_price","median_price","median_reviews","mean_reviews","median_star","mean_star","median_salary","population","zip_count","Latitude","Longitude"
1604,"Worcester",1.67088607594937,2,30,52.8987341772152,4,3.77215189873418,47438,33032,79,42.255393,-71.77459
1605,"Worcester",1.5,1,40.5,43.5,3.5,3.71153846153846,41023,24799,26,42.286543,-71.78846
1609,"Worcester",1.7,2,31.5,58.5333333333333,3.75,3.68333333333333,44501,20425,30,42.271743,-71.81348
1602,"Worcester",1.66666666666667,2,27,54.4,4,3.73333333333333,61861,21596,15,42.272359,-71.84482
1603,"Worcester",1.5,1,17,27.1176470588235,3.5,3.51470588235294,37454,14613,34,42.240526,-71.83776
1608,"Worcester",1.44444444444444,1,23,62.8148148148148,4,3.92592592592593,26526,3634,27,42.261343,-71.80173
1606,"Worcester",1.35294117647059,1,27,45.2352941176471,4,3.94117647058824,57646,19516,17,42.311342,-71.79531
1610,"Worcester",1.36363636363636,1,13,26.4848484848485,4,3.78787878787879,21388,15545,33,42.248493,-71.80793
1607,"Worcester",1.57142857142857,2,23,29.8571428571429,3.5,3.64285714285714,47987,8415,7,42.229543,-71.79501
1545,"Worcester",1.5,1.5,79,79,4.25,4.25,88643,31637,2,42.286643,-71.72502
2190,"Weymouth",1.68181818181818,2,31,49.1363636363636,4,3.75,74205,16780,22,42.1711,-70.94597
2188,"Weymouth",1.57692307692308,2,23,42.1153846153846,3.5,3.65384615384615,65251,13828,26,42.212866,-70.95872
2189,"Weymouth",1.51612903225806,2,25,41.8064516129032,3.5,3.62903225806452,62491,14455,31,42.2112,-70.93111
2191,"Weymouth",1.71428571428571,2,24,28.8571428571429,3.5,3.5,68143,8916,7,42.242749,-70.94434
2043,"Weymouth",1.95652173913043,2,69,109.913043478261,3.5,3.41304347826087,99910,19867,23,42.225708,-70.88764
2169,"Weymouth",1.609375,2,40,76.1015625,3.5,3.38671875,56647,52278,128,42.250739,-70.99593
2184,"Weymouth",1.70731707317073,2,47,71.8292682926829,3.5,3.31707317073171,77129,33731,41,42.209555,-70.99968
2351,"Weymouth",1.63636363636364,2,17,24.7272727272727,3.5,3.47727272727273,75850,14614,22,42.119534,-70.94787
2061,"Weymouth",2,2,67,129.428571428571,3.5,3.85714285714286,106730,9785,7,42.15243,-70.8205
2370,"Weymouth",1.66666666666667,2,22,30.2222222222222,3.5,3.61111111111111,62855,17665,9,42.129513,-70.91189
2368,"Weymouth",1.4,1,35.5,54.45,3.75,3.6,65118,30999,20,42.173417,-71.04912
2343,"Weymouth",1.14285714285714,1,16,18.6428571428571,3.5,3.39285714285714,62560,10705,14,42.148351,-71.01037
2170,"Weymouth",1.69565217391304,2,60,77.0434782608696,3.5,3.54347826086957,64309,19203,23,42.267049,-71.01834
